pid,pfr_id,season,week,pos,team,opp,ppr
P0010,MossRa00,2008,9,WR,NE,IND,10.5
P0010,MossRa00,2008,10,WR,NE,BUF,10.1
P0010,MossRa00,2008,11,WR,NE,NYJ,11.6
P0010,MossRa00,2008,12,WR,NE,MIA,38.5
P0010,MossRa00,2008,13,WR,NE,PIT,8.5
P0010,MossRa00,2008,14,WR,NE,SEA,8.6
P0010,MossRa00,2008,15,WR,NE,LV,23.7
P0010,MossRa00,2008,16,WR,NE,ARI,16.7
P0010,MossRa00,2008,17,WR,NE,BUF,2.3
P0010,MossRa00,2009,1,WR,NE,BUF,26.1
P0010,MossRa00,2009,2,WR,NE,NYJ,6.4
P0010,MossRa00,2009,3,WR,NE,ATL,21.6
P0010,MossRa00,2009,4,WR,NE,BAL,14.0
P0010,MossRa00,2009,5,WR,NE,DEN,4.6
P0010,MossRa00,2009,6,WR,NE,TEN,38.9
P0010,MossRa00,2009,7,WR,NE,TB,11.9
P0010,MossRa00,2009,9,WR,NE,MIA,28.7
P0010,MossRa00,2009,10,WR,NE,IND,38.9
P0010,MossRa00,2009,11,WR,NE,NYJ,14.4
P0010,MossRa00,2009,12,WR,NE,NO,9.7
P0010,MossRa00,2009,13,WR,NE,MIA,14.6
P0010,MossRa00,2009,14,WR,NE,CAR,0.6
P0010,MossRa00,2009,15,WR,NE,BUF,18.0
P0010,MossRa00,2009,16,WR,NE,JAX,26.5
P0010,MossRa00,2009,17,WR,NE,HOU,12.5
P0010,MossRa00,2010,1,WR,NE,CIN,10.9
P0010,MossRa00,2010,2,WR,NE,NYJ,11.8
P0010,MossRa00,2010,3,WR,NE,BUF,18.2
P0010,MossRa00,2010,4,WR,NE,MIA,0.0
P0010,MossRa00,2010,5,WR,MIN,NYJ,18.1
P0010,MossRa00,2010,6,WR,MIN,DAL,10.5
P0010,MossRa00,2010,7,WR,MIN,GB,12.0
P0010,MossRa00,2010,8,WR,MIN,NE,1.8
P0010,MossRa00,2010,10,WR,TEN,MIA,3.6
P0010,MossRa00,2010,11,WR,TEN,WAS,0.0
P0010,MossRa00,2010,12,WR,TEN,HOU,5.3
P0010,MossRa00,2010,13,WR,TEN,JAX,2.3
P0010,MossRa00,2010,17,WR,TEN,IND,2.8
P0010,MossRa00,2012,1,WR,SF,GB,14.7
P0010,MossRa00,2012,2,WR,SF,DET,2.4
P0010,MossRa00,2012,3,WR,SF,MIN,5.7
P0010,MossRa00,2012,4,WR,SF,NYJ,0.0
P0010,MossRa00,2012,5,WR,SF,BUF,2.1
P0010,MossRa00,2012,6,WR,SF,NYG,9.5
P0010,MossRa00,2012,7,WR,SF,SEA,2.4
P0010,MossRa00,2012,8,WR,SF,ARI,11.7
P0010,MossRa00,2012,10,WR,SF,LA,3.9
P0010,MossRa00,2012,11,WR,SF,CHI,2.2
P0010,MossRa00,2012,12,WR,SF,NO,0.0
P0010,MossRa00,2012,13,WR,SF,LA,6.0
P0010,MossRa00,2012,14,WR,SF,MIA,5.0
P0010,MossRa00,2012,15,WR,SF,NE,11.6
P0010,MossRa00,2012,16,WR,SF,SEA,7.4
P0010,MossRa00,2012,17,WR,SF,ARI,4.8
P0015,MannPe00,2000,1,QB,IND,KC,12.5
P0015,MannPe00,2000,2,QB,IND,LV,24.48
P0015,MannPe00,2000,4,QB,IND,JAX,31.4
P0015,MannPe00,2000,5,QB,IND,BUF,15.18
P0015,MannPe00,2000,6,QB,IND,NE,11.08
P0015,MannPe00,2000,7,QB,IND,SEA,15.24
P0015,MannPe00,2000,8,QB,IND,NE,22.72
P0015,MannPe00,2000,9,QB,IND,DET,19.52
P0015,MannPe00,2000,10,QB,IND,CHI,20.28
P0015,MannPe00,2000,11,QB,IND,NYJ,12.6
P0015,MannPe00,2000,12,QB,IND,GB,21.76
P0015,MannPe00,2000,13,QB,IND,MIA,18.96
P0015,MannPe00,2000,14,QB,IND,NYJ,17.56
P0015,MannPe00,2000,15,QB,IND,BUF,5.08
