,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
85,Baker Mayfield,TAM,QB,31,1,1,23,28,216,0,0,5,30,6.00,1,0,0,0,,0,3,3,1,,,12,11.6,14.6,11.6,,26,,MayfBa00
86,Drake Maye,NWE,QB,24,1,1,23,33,178,1,3,7,47,6.71,0,0,0,0,,0,0,0,0,,,10,9.8,12.8,12.8,,27,,MayeDr00
87,Daniel Jones,IND,QB,29,1,1,19,31,166,1,1,1,4,4.00,0,0,0,0,,0,0,0,0,,,9,9.0,10.0,10.0,,29,,JoneDa05
88,Bhayshul Tuten,JAX,RB,23,1,1,0,0,0,0,0,15,66,4.40,0,1,1,22,22.00,0,0,0,0,,,9,9.8,9.8,9.3,,24,,TuteBh00
89,Kendre Miller,NOR,RB,24,1,0,0,0,0,0,0,9,30,3.33,1,0,0,0,,0,0,0,1,,,9,9.0,9.0,9.0,,23,,MillKe01
90,Geno Smith,NYJ,QB,36,1,1,19,24,215,0,0,6,7,1.17,0,0,0,0,,0,1,0,0,,,9,9.3,9.3,9.3,,28,,SmitGe00
91,Christian McCaffrey,SFO,RB,30,1,1,0,0,0,0,0,10,68,6.80,0,8,5,20,4.00,0,0,0,0,,,9,13.8,13.8,11.3,,25,,McCaCh01
92,Kendrick Bourne,ARI,WR,31,1,1,0,0,0,0,0,0,0,,0,8,8,75,9.38,0,0,0,0,,,8,15.5,15.5,11.5,,30,,BourKe00
93,Josh Cameron,JAX,WR,23,1,0,0,0,0,0,0,0,0,,0,2,2,20,10.00,1,0,0,1,,,8,10.0,10.0,9.0,,27,,CameJo01
94,Brenton Strange,JAX,TE,26,1,1,0,0,0,0,0,0,0,,0,3,2,23,11.50,1,0,0,1,,,8,10.3,10.3,9.3,,13,,StraBr00
95,Rashee Rice,KAN,WR,26,1,1,0,0,0,0,0,0,0,,0,2,2,19,9.50,1,0,0,1,,,8,9.9,9.9,8.9,,28,,RiceRa01
96,Travis Etienne,NOR,RB,27,1,1,0,0,0,0,0,9,46,5.11,0,9,7,32,4.57,0,0,0,0,,,8,14.8,14.8,11.3,,28,,EtieTr00
97,Kenyon Sadiq,NYJ,TE,21,1,0,0,0,0,0,0,1,3,3.00,1,3,3,21,7.00,0,0,0,1,,,8,11.4,11.4,9.9,,12,,SadiKe00
98,Garrett Wilson,NYJ,WR,26,1,1,0,0,0,0,0,0,0,,0,7,6,79,13.17,0,0,0,0,,,8,13.9,13.9,10.9,,29,,WilsGa00
99,Saquon Barkley,PHI,RB,29,1,1,0,0,0,0,0,15,83,5.53,0,2,1,-3,-3.00,0,0,0,0,,,8,9.0,9.0,8.5,,27,,BarkSa00
100,Omarion Hampton,LAC,RB,23,1,1,0,0,0,0,0,12,43,3.58,1,0,0,0,,0,1,1,1,,,8,8.3,9.3,8.3,,26,,HampOm00
101,James Cook,BUF,RB,27,1,1,0,0,0,0,0,13,57,4.38,0,4,3,12,4.00,0,1,0,0,,,7,9.9,9.9,8.4,,31,,CookJa01
102,Tyler Warren,IND,TE,24,1,1,0,0,0,0,0,0,0,,0,5,3,13,4.33,1,0,0,1,,,7,10.3,10.3,8.8,,14,,WarrTy00
103,Tyler Allgeier,ARI,RB,26,1,1,0,0,0,0,0,17,61,3.59,0,2,2,9,4.50,0,0,0,0,,,7,9.0,9.0,8.0,,29,,AllgTy00
104,Tucker Kraft,GNB,TE,26,1,1,0,0,0,0,0,0,0,,0,6,3,65,21.67,0,0,0,0,,,7,9.5,9.5,8.0,,16,,KrafTu00
105,Emmett Johnson,KAN,RB,23,1,0,0,0,0,0,0,8,24,3.00,0,2,2,44,22.00,0,0,0,0,,,7,8.8,8.8,7.8,,32,,JohnEm01
106,Travis Kelce,KAN,TE,37,1,1,0,0,0,0,0,0,0,,0,5,3,71,23.67,0,0,0,0,,,7,10.1,10.1,8.6,,15,,KelcTr00
107,De'Von Achane,MIA,RB,25,1,1,0,0,0,0,0,11,36,3.27,0,5,4,30,7.50,0,0,0,0,,,7,10.6,10.6,8.6,,33,,AchaDe00
108,Malik Nabers,NYG,WR,23,1,1,0,0,0,0,0,0,0,,0,9,6,69,11.50,0,0,0,0,,,7,12.9,12.9,9.9,,33,,NabeMa00
109,Elic Ayomanor,TEN,WR,23,1,0,0,0,0,0,0,0,0,,0,3,1,11,11.00,1,0,0,1,,,7,8.1,8.1,7.6,,32,,AyomEl00
110,Puka Nacua,LAR,WR,25,1,1,0,0,0,0,0,0,0,,0,9,5,74,14.80,0,0,0,0,,,7,12.4,12.4,9.9,,31,,NacuPu00
111,Kaelon Black,SFO,RB,25,1,0,0,0,0,0,0,14,65,4.64,0,1,1,5,5.00,0,0,0,0,,,7,8.0,8.0,7.5,,30,,BlacKa00
112,Cooper Rush,ATL,QB,33,1,1,12,22,143,1,2,0,0,,0,0,0,0,,0,0,0,0,,,6,5.7,7.7,7.7,,30,,RushCo00
113,Jonathon Brooks,CAR,RB,23,1,0,0,0,0,0,0,4,14,3.50,0,2,1,48,48.00,0,0,0,0,,,6,7.2,7.2,6.7,,34,,BrooJo02
114,Tetairoa McMillan,CAR,WR,23,1,1,0,0,0,0,0,0,0,,0,8,5,75,15.00,0,1,1,0,,,6,10.5,11.5,8.0,,41,,McMiTe00
115,Jahdae Walker,CHI,WR,24,1,0,0,0,0,0,0,0,0,,0,1,1,1,1.00,1,0,0,1,,,6,7.1,7.1,6.6,,35,,WalkJa03
116,Tee Higgins,CIN,WR,27,1,1,0,0,0,0,0,0,0,,0,6,3,59,19.67,0,0,0,0,,,6,8.9,8.9,7.4,,38,,HiggTe00
117,Alec Pierce,IND,WR,26,1,0,0,0,0,0,0,0,0,,0,6,4,61,15.25,0,0,0,0,,,6,10.1,10.1,8.1,,36,,PierAl00
118,Michael Wilson,ARI,WR,26,1,1,0,0,0,0,0,0,0,,0,7,5,56,11.20,0,0,0,0,,,6,10.6,10.6,8.1,,40,,WilsMi02
119,Eli Raridon,NWE,TE,22,1,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,1,0,0,1,,,6,7.2,7.2,6.7,,17,,RariEl00
120,Adonai Mitchell,NYJ,WR,24,1,1,0,0,0,0,0,0,0,,0,3,3,60,20.00,0,0,0,0,,,6,9.0,9.0,7.5,,37,,MitcAd00
121,Michael Pittman Jr.,PIT,WR,29,1,1,0,0,0,0,0,0,0,,0,3,3,58,19.33,0,0,0,0,,,6,8.8,8.8,7.3,,39,,PittMi01
122,David Njoku,LAC,TE,30,1,0,0,0,0,0,0,0,0,,0,5,5,58,11.60,0,0,0,0,,,6,10.8,10.8,8.3,,18,,NjokDa00
123,Jadarian Price,SEA,RB,23,1,1,0,0,0,0,0,10,52,5.20,0,2,2,6,3.00,0,0,0,0,,,6,7.8,7.8,6.8,,35,,PricJa02
124,Emeka Egbuka,TAM,WR,24,1,1,0,0,0,0,0,0,0,,0,6,5,63,12.60,0,0,0,0,,,6,11.3,11.3,8.8,,34,,EgbuEm01
